metric,value,numerator,denominator,percent,note
clinvar_plp_variants_in_vital_table,300.0,300,300,100.0,"All P/LP variants carried through VITAL, including explicit no-frequency-evidence rows."
exact_af_covered_clinvar_plp_variants,20.0,20,300,6.666666666666667,Variants with observed exact gnomAD AF used for continuous VITAL scoring.
no_gnomad_frequency_evidence_variants,276.0,276,300,92.0,No AF imputation is applied; these variants retain NaN frequency fields and gray VITAL band.
allele_discordance_no_exact_af_variants,0.0,0,300,0.0,ClinVar/gnomAD allele mismatch rows kept outside frequency scoring.
gnomad_query_error_no_frequency_evidence_variants,4.0,4,300,1.3333333333333333,Transient gnomAD query failures are flagged separately and kept outside frequency scoring.
standard_popmax_or_global_af_gt_1e_5_flags,5.0,5,300,1.6666666666666667,Naive frequency-only ACMG-style contradiction screen.
standard_popmax_or_global_af_gt_1e_4_flags,0.0,0,300,0.0,High-frequency subset of the naive screen.
global_af_gt_1e_5_flags,0.0,0,300,0.0,Flags found by global AF alone.
popmax_af_gt_1e_5_flags,5.0,5,300,1.6666666666666667,Flags found when population maximum AF is considered.
global_af_gt_1e_4_flags,0.0,0,300,0.0,High-frequency flags found by global AF alone.
popmax_af_gt_1e_4_flags,0.0,0,300,0.0,High-frequency flags found when population maximum AF is considered.
ac_supported_frequency_flags,0.0,0,300,0.0,Frequency signal has AC >= 20 in global or popmax source.
vital_red_reclassification_predictions,0.0,0,300,0.0,"VITAL >= 70, weak review, and AC-supported frequency signal."
alert_reduction_vs_standard_frequency_screen_percent,100.0,0,5,100.0,Reduction in action-priority calls versus a naive AF > 1e-5 frequency screen.
vital_band_blue_low_support_signal,4.0,4,300,1.3333333333333333,VITAL score band count.
vital_band_gray_no_frequency_evidence,280.0,280,300,93.33333333333333,VITAL score band count.
vital_band_green_frequency_consistent,15.0,15,300,5.0,VITAL score band count.
vital_band_yellow_watchlist,1.0,1,300,0.3333333333333333,VITAL score band count.
