cohort	snapshot	decision_risk_layer	records	percent_of_all_records	percent_of_frequency_observed	minimum_submitter_exposure_units	standard_context_records	recessive_context_required_records	weak_review_records	median_vital_score	max_vital_score	clinical_risk_proxy
arrhythmia_2023-01	2023-01	upper_bound_frequency_discordant_PLP_records	188	11.264230077890952	41.31868131868132	799	155	33	75	40.43187647855498	87.6547482136581	Could support a P/LP label despite ancestry-aware frequency contradiction if accepted uncritically.
arrhythmia_2023-01	2023-01	AC_supported_frequency_discordant_records	27	1.6177351707609346	5.934065934065934	177	17	10	4	52.58949075117569	87.6547482136581	Frequency contradiction has allele-count support; suitable for active review rather than passive watchlist.
arrhythmia_2023-01	2023-01	weak_review_frequency_discordant_records	75	4.493708807669263	16.483516483516482	90	55	20	75	42.43166824897119	87.6547482136581	Weak public assertions with frequency contradiction create higher diagnostic-closure and cascade-testing pressure.
arrhythmia_2023-01	2023-01	VITAL_red_urgent_review_records	2	0.11983223487118035	0.43956043956043955	2	1	1	2	82.01592996961566	87.6547482136581	Smallest urgent review queue: high score, weak review, and AC-supported frequency contradiction.
arrhythmia_2023-01	2023-01	standard_context_red_records	1	0.05991611743559017	0.21978021978021978	1	1	0	1	87.6547482136581	87.6547482136581	Potential monogenic-disease label risk: diagnostic closure, cascade testing, or surveillance before adjudication.
arrhythmia_2023-01	2023-01	recessive_context_red_records	1	0.05991611743559017	0.21978021978021978	1	0	1	1	76.37711172557322	76.37711172557322	Carrier-architecture routing risk: inappropriate dominant-disease counseling if phase/inheritance is ignored.
arrhythmia_2024-01	2024-01	upper_bound_frequency_discordant_PLP_records	196	10.267155578837087	40.49586776859504	886	158	38	76	41.23882298651519	88.39079902775181	Could support a P/LP label despite ancestry-aware frequency contradiction if accepted uncritically.
arrhythmia_2024-01	2024-01	AC_supported_frequency_discordant_records	27	1.4143530644316396	5.578512396694215	195	16	11	3	52.272763440393774	88.39079902775181	Frequency contradiction has allele-count support; suitable for active review rather than passive watchlist.
arrhythmia_2024-01	2024-01	weak_review_frequency_discordant_records	76	3.9811419591409116	15.702479338842975	89	54	22	76	43.66995645354217	88.39079902775181	Weak public assertions with frequency contradiction create higher diagnostic-closure and cascade-testing pressure.
arrhythmia_2024-01	2024-01	VITAL_red_urgent_review_records	2	0.10476689366160294	0.4132231404958678	2	1	1	2	81.22929559852417	88.39079902775181	Smallest urgent review queue: high score, weak review, and AC-supported frequency contradiction.
arrhythmia_2024-01	2024-01	standard_context_red_records	1	0.05238344683080147	0.2066115702479339	1	1	0	1	88.39079902775181	88.39079902775181	Potential monogenic-disease label risk: diagnostic closure, cascade testing, or surveillance before adjudication.
arrhythmia_2024-01	2024-01	recessive_context_red_records	1	0.05238344683080147	0.2066115702479339	1	0	1	1	74.06779216929655	74.06779216929655	Carrier-architecture routing risk: inappropriate dominant-disease counseling if phase/inheritance is ignored.
arrhythmia_2026-04-current	2026-04-current	upper_bound_frequency_discordant_PLP_records	115	6.643558636626228	34.4311377245509	168	77	38	62	41.109664612482725	96.07000729211028	Could support a P/LP label despite ancestry-aware frequency contradiction if accepted uncritically.
arrhythmia_2026-04-current	2026-04-current	AC_supported_frequency_discordant_records	9	0.5199306759098787	2.694610778443114	15	2	7	3	52.60227296532325	96.07000729211028	Frequency contradiction has allele-count support; suitable for active review rather than passive watchlist.
arrhythmia_2026-04-current	2026-04-current	weak_review_frequency_discordant_records	62	3.5817446562680533	18.562874251497007	62	44	18	62	42.00326045167358	96.07000729211028	Weak public assertions with frequency contradiction create higher diagnostic-closure and cascade-testing pressure.
arrhythmia_2026-04-current	2026-04-current	VITAL_red_urgent_review_records	3	0.1733102253032929	0.8982035928143712	3	2	1	3	74.34422242107016	96.07000729211028	Smallest urgent review queue: high score, weak review, and AC-supported frequency contradiction.
arrhythmia_2026-04-current	2026-04-current	standard_context_red_records	2	0.11554015020219527	0.5988023952095808	2	2	0	2	83.19830265815592	96.07000729211028	Potential monogenic-disease label risk: diagnostic closure, cascade testing, or surveillance before adjudication.
arrhythmia_2026-04-current	2026-04-current	recessive_context_red_records	1	0.057770075101097634	0.2994011976047904	1	0	1	1	74.34422242107016	74.34422242107016	Carrier-architecture routing risk: inappropriate dominant-disease counseling if phase/inheritance is ignored.
